row_id,result
1,78
2,225
3,156
4,215
5,94
6,179
7,"267,189"
8,"51,209,6,130,13"
9,"207,76"
10,"115,184,266"
11,104
12,"185,240"
13,"197,125"
14,"101,1,81"
15,"34,269,281,160,10,125,184,191,35"
16,"217,34,281,160,10,125,184,191,248,35"
17,"263,215,170,112,276"
18,"128,37,45,91"
19,"57,53,179,51,128"
20,"282,127,220,104,141,175"
21,"241,168,265"
22,74
23,149
24,118
25,81
26,"34,205"
27,"115,21,92,243,17,187"
28,35
29,234
30,"180,110,77,190,17"
31,"166,221"
32,"128,34,124,206"
33,"57,183,242,210,12,188,52,247,86,252,84,228,149"
34,272
35,"217,2,246,104,101,128,72,198,3,44,245,241,168,226,75,121"
36,"72,71,247,97,265"
37,140
38,"96,107"
39,"247,73,5,145"
40,"49,50,140,197,235"
41,"191,187"
42,48
43,"207,123,275,37,64"
44,"61,281,169,88,184,142"
45,89
46,1
47,"21,173,166"
48,169
49,"271,108"
50,"218,183,50,176,146"
51,231
52,21
53,258
54,"52,132"
55,268
56,"114,272"
57,"48,282,183,127,50,52,225"
58,"196,87,71,106,44,258,216,77,14"
59,"232,151"
60,125
61,"218,182,267,62,207,40,30,180,4,78,111,110"
62,"77,46"
63,174
64,"198,166"
65,"53,12,75"
66,"218,50,164,181,252"
67,"170,45,145"
68,"52,190,184"
69,"41,28,127,179,129"
70,"41,193"
71,112
72,"41,49,140,158,153,235"
73,"26,51,271,75"
74,"141,70,60,81"
75,"71,198,44,247,155,121"
76,145
77,"26,53,80,52,34,141,241,247,176,272,170"
78,"193,155,118"
79,"168,271"
80,"218,50,164,181,252"
81,"233,195"
82,"282,49,196,162,104,106,34,258"
83,"26,57,48,49,207,220,37,132,197"
84,"179,48,282,217,180,246,150"
85,"179,48,127,34,150,25,117,124,274,191,177,59,265"
86,"128,37,170,132,45"
87,"282,62,193,34,59,265,29,195"
88,"282,62,193,34,117,59,265,29,195,231"
89,"23,49,4,72,111,177,269,112,132,149"
90,"100,192,41,179,257,48,267,207,263,180,9,214,109,101,128,78,123,171,3,44,34,213"
91,197
92,"256,282,242,196,214,109,101,27,31,199,130,283,68,98,118"
93,"193,247,59,265,286,243,20,259"
94,"193,241,247,135,59,265,286,243"
95,1
96,1
97,"72,260,169,243"
98,"209,9,262,150,132,113"
99,"193,233,235"
100,"89,166,233,54,235"
